車型,品番,品名,產品圖片,原料編號,模具廠商,生產機台,CT時間(秒),重量公差,標準重量(g),重量上限(g),重量下限(g),標準長度,長度上限,長度下限,後加工組立,組立時間,重點管制1,重點管制2,重點管制3,異常履歷寫真1,異常履歷寫真2,異常履歷寫真3,出貨容器,收容數,月需求量,成形條件表,作業標準書,檢查手順書,備註
976W,52151-0A070-1,後下巴,52151-0A070-1_main.jpg,CN-BP7SYTW-11BK10,,1500T(151機),,690g±10g,690,700,680,,,,,,,,,,,,,,,52151-0A070-1_qc1.pdf,52151-0A070-1_qc2.pdf,52151-0A070-1_qc3.pdf,
976W,52163-0A150-1,拖車蓋,52163-0A150-1_main.jpg,,,,,,,,,,,,,,,,,,,,,,,52163-0A150-1_qc1.pdf,52163-0A150-1_qc2.pdf,52163-0A150-1_qc3.pdf,
718W,75851_2-02300,側裙,75851_2-02300_main.jpg,,,,,,,,,,,,,,,,,,,,,,,75851_2-02300_qc1.pdf,75851_2-02300_qc2.pdf,75851_2-02300_qc3.pdf,
718W,58166-02200,備胎室下護板-LH,58166-02200_main.jpg,,,,,,,,,,,,,,,,,,,,,,,58166-02200_qc1.pdf,58166-02200_qc2.pdf,58166-02200_qc3.pdf,
718W,58165-02350,GRS右側下護板,58165-02350_main.jpg,,,,,,,,,,,,,,,,,,,,,,,58165-02350_qc1.pdf,58165-02350_qc2.pdf,58165-02350_qc3.pdf,
718W,58165-02240,右側下護板RH,58165-02240_main.jpg,,,,,,,,,,,,,,,,,,,,,,,58165-02240_qc1.pdf,58165-02240_qc2.pdf,58165-02240_qc3.pdf,
718W,58399-02220,下護板,58399-02220_main.jpg,,,,,,,,,,,,,,,,,,,,,,,58399-02220_qc1.pdf,58399-02220_qc2.pdf,58399-02220_qc3.pdf,
718W,55313-02340,(IP無孔,55313-02340_main.jpg,,,,,,,,,,,,,,,,,,,,,,,55313-02340_qc1.pdf,55313-02340_qc2.pdf,55313-02340_qc3.pdf,
718W,55433-02620-1,公文箱,55433-02620-1_main.jpg,,,,,,,,,,,,,,,,,,,,,,,55433-02620-1_qc1.pdf,55433-02620-1_qc2.pdf,55433-02620-1_qc3.pdf,
718W,57628-02200,油箱左側防塵板,57628-02200_main.jpg,,,,,,,,,,,,,,,,,,,,,,,57628-02200_qc1.pdf,57628-02200_qc2.pdf,57628-02200_qc3.pdf,
718W,55514-02390,安全氣囊(白),55514-02390_main.jpg,,,,,,,,,,,,,,,,,,,,,,,55514-02390_qc1.pdf,55514-02390_qc2.pdf,55514-02390_qc3.pdf,
718W,55514-02340,安全氣囊(黑),55514-02340_main.jpg,,,,,,,,,,,,,,,,,,,,,,,55514-02340_qc1.pdf,55514-02340_qc2.pdf,55514-02340_qc3.pdf,
718W,58569-02140,車身號碼飾板,58569-02140_main.jpg,,,,,,,,,,,,,,,,,,,,,,,58569-02140_qc1.pdf,58569-02140_qc2.pdf,58569-02140_qc3.pdf,
718W,554B1-02160,框,554B1-02160_main.jpg,,,,,,,,,,,,,,,,,,,,,,,554B1-02160_qc1.pdf,554B1-02160_qc2.pdf,554B1-02160_qc3.pdf,
718W,55411-02D50,儀表護蓋(有),55411-02D50_main.jpg,,,,,,,,,,,,,,,,,,,,,,,55411-02D50_qc1.pdf,55411-02D50_qc2.pdf,55411-02D50_qc3.pdf,
718W,55411-02B90,儀表護蓋,55411-02B90_main.jpg,APIP5G-202B,,400T(401機),,187g±2g,187,189,185,,,,,,,,,,,,,,,55411-02B90_qc1.pdf,55411-02B90_qc2.pdf,55411-02B90_qc3.pdf,
718W,53827_8-02280-1,擋泥板,53827_8-02280-1_main.jpg,,,,,,,,,,,,,,,,,,,,,,,53827_8-02280-1_qc1.pdf,53827_8-02280-1_qc2.pdf,53827_8-02280-1_qc3.pdf,
D38H,51447-BZ010,51407-BZ010下護板(大),51447-BZ010_main.jpg,,,,,,,,,,,,,,,,,,,,,,,51447-BZ010_qc1.pdf,51447-BZ010_qc2.pdf,51447-BZ010_qc3.pdf,
D38H,51473-BZ060,51408-BZ030下護板(大),51473-BZ060_main.jpg,,,,,,,,,,,,,,,,,,,,,,,51473-BZ060_qc1.pdf,51473-BZ060_qc2.pdf,51473-BZ060_qc3.pdf,
D38H,51474-BZ090,51409-BZ020下護板(小),51474-BZ090_main.jpg,,,,,,,,,,,,,,,,,,,,,,,51474-BZ090_qc1.pdf,51474-BZ090_qc2.pdf,51474-BZ090_qc3.pdf,
D38H,55550-BZ260-B0,手套箱,55550-BZ260-B0_main.jpg,,,,,,,,,,,,,,,,,,,,,,,55550-BZ260-B0_qc1.pdf,55550-BZ260-B0_qc2.pdf,55550-BZ260-B0_qc3.pdf,
D38H,51453_4-BZ040,鐵床RH/LH,51453_4-BZ040_main.jpg,,,,,,,,,,,,,,,,,,,,,,,51453_4-BZ040_qc1.pdf,51453_4-BZ040_qc2.pdf,51453_4-BZ040_qc3.pdf,
D38H,51453_4-BZ080,木床RH/LH,51453_4-BZ080_main.jpg,,,,,,,,,,,,,,,,,,,,,,,51453_4-BZ080_qc1.pdf,51453_4-BZ080_qc2.pdf,51453_4-BZ080_qc3.pdf,
D38H,55315_6-BZ170_030,IP配件RH/LH,55315_6-BZ170_030_main.jpg,,,,,,,,,,,,,,,,,,,,,,,55315_6-BZ170_030_qc1.pdf,55315_6-BZ170_030_qc2.pdf,55315_6-BZ170_030_qc3.pdf,
D38H,55404-BZ260,儀表護蓋,55404-BZ260_main.jpg,,,,,,,,,,,,,,,,,,,,,,,55404-BZ260_qc1.pdf,55404-BZ260_qc2.pdf,55404-BZ260_qc3.pdf,
D38H,58810-BZ170,中央扶手座,58810-BZ170_main.jpg,,,,,,,,,,,,,,,,,,,,,,,58810-BZ170_qc1.pdf,58810-BZ170_qc2.pdf,58810-BZ170_qc3.pdf,
D38H,58837-BZ040,杯架,58837-BZ040_main.jpg,,,,,,,,,,,,,,,,,,,,,,,58837-BZ040_qc1.pdf,58837-BZ040_qc2.pdf,58837-BZ040_qc3.pdf,
